Municipality of origin for majority of IDPs,Municipal section of origin for IDPs,District of origin for IDPs,IDPs counted
Pétion-Ville,4ème Bellevue la Montagne,Bois Greffin,100
Port-au-Prince,6ème Turgeau,Champ-de-Mars,100
Port-au-Prince,8ème Martissant,Bas Martissant,100
Carrefour,11ème Rivière Froide,Village Petit Paradis,99
Carrefour,10ème Thor,Bas Thorland,94
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,88
Cité Soleil,1ère Varreux,Drouillard,80
Cité Soleil,1ère Varreux,Bois Neuf,80
Pétion-Ville,4ème Bellevue la Montagne,Pernier 24,80
Pétion-Ville,4ème Bellevue la Montagne,Chavannes Prolongee,80
Port-au-Prince,8ème Martissant,Bas Martissant,80
Cité Soleil,1ère Varreux,Ti Ayiti,79
Cité Soleil,1ère Varreux,Cite Fierte - Linto 1,77
Carrefour,11ème Rivière Froide,Le Lambi,75
Cité Soleil,1ère Varreux,Belecou,75
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,75
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,75
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,75
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,75
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,75
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,75
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,75
Pétion-Ville,3ème Etang du Jong,Laboule,75
Delmas,5ème Saint Martin,Carrefour Pean,75
Port-au-Prince,6ème Turgeau,Poste Marchand,75
Cité Soleil,1ère Varreux,Brouklin,70
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,70
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,65
Pétion-Ville,3ème Etang du Jong,Desire - Boutilier,64
Carrefour,10ème Thor,Cocoyer - Bas Rails,60
Croix-Des-Bouquets,2ème Petit Bois,Latremblais,60
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,60
Tabarre,3ème Bellevue,Butte Boyer,60
